,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
278,0.7137,Mon Mar 26 21:01:15 +0000 2018,0.762,0.0,0.238,79,@CNN
279,0.0,Mon Mar 26 21:00:16 +0000 2018,1.0,0.0,0.0,80,@CNN
280,0.5106,Mon Mar 26 20:51:02 +0000 2018,0.798,0.0,0.202,81,@CNN
281,0.0,Mon Mar 26 20:45:05 +0000 2018,1.0,0.0,0.0,82,@CNN
282,-0.2263,Mon Mar 26 20:36:34 +0000 2018,0.894,0.106,0.0,83,@CNN
283,0.0,Mon Mar 26 20:33:25 +0000 2018,1.0,0.0,0.0,84,@CNN
284,0.0,Mon Mar 26 20:30:18 +0000 2018,1.0,0.0,0.0,85,@CNN
285,0.4767,Mon Mar 26 20:24:16 +0000 2018,0.866,0.0,0.134,86,@CNN
286,-0.5106,Mon Mar 26 20:15:03 +0000 2018,0.82,0.18,0.0,87,@CNN
287,0.5267,Mon Mar 26 20:11:28 +0000 2018,0.841,0.0,0.159,88,@CNN
288,0.0,Mon Mar 26 20:07:04 +0000 2018,1.0,0.0,0.0,89,@CNN
289,-0.4767,Mon Mar 26 20:04:40 +0000 2018,0.86,0.14,0.0,90,@CNN
290,-0.34,Mon Mar 26 20:00:09 +0000 2018,0.821,0.179,0.0,91,@CNN
291,0.4019,Mon Mar 26 19:45:07 +0000 2018,0.856,0.0,0.144,92,@CNN
292,0.0772,Mon Mar 26 19:40:08 +0000 2018,0.804,0.09,0.106,93,@CNN
293,0.0258,Mon Mar 26 19:35:43 +0000 2018,0.95,0.0,0.05,94,@CNN
294,0.0,Mon Mar 26 19:30:05 +0000 2018,1.0,0.0,0.0,95,@CNN
295,0.0,Mon Mar 26 19:26:20 +0000 2018,1.0,0.0,0.0,96,@CNN
296,-0.5423,Mon Mar 26 19:18:39 +0000 2018,0.829,0.171,0.0,97,@CNN
297,0.0,Mon Mar 26 19:15:59 +0000 2018,1.0,0.0,0.0,98,@CNN
298,0.0,Mon Mar 26 19:15:06 +0000 2018,1.0,0.0,0.0,99,@CNN
299,0.0,Mon Mar 26 19:00:52 +0000 2018,1.0,0.0,0.0,100,@CNN
300,-0.5267,Tue Mar 27 05:10:00 +0000 2018,0.732,0.268,0.0,1,@FoxNews
301,-0.34,Tue Mar 27 05:05:00 +0000 2018,0.862,0.138,0.0,2,@FoxNews
302,0.4939,Tue Mar 27 05:00:00 +0000 2018,0.856,0.0,0.144,3,@FoxNews
303,-0.6705,Tue Mar 27 04:55:00 +0000 2018,0.621,0.379,0.0,4,@FoxNews
304,0.0,Tue Mar 27 04:50:00 +0000 2018,1.0,0.0,0.0,5,@FoxNews
305,0.0,Tue Mar 27 04:45:00 +0000 2018,1.0,0.0,0.0,6,@FoxNews
306,-0.3818,Tue Mar 27 04:40:00 +0000 2018,0.867,0.133,0.0,7,@FoxNews
307,0.765,Tue Mar 27 04:35:00 +0000 2018,0.68,0.0,0.32,8,@FoxNews
308,0.0,Tue Mar 27 04:30:00 +0000 2018,1.0,0.0,0.0,9,@FoxNews
309,0.0,Tue Mar 27 04:25:00 +0000 2018,1.0,0.0,0.0,10,@FoxNews
310,0.0,Tue Mar 27 04:20:00 +0000 2018,1.0,0.0,0.0,11,@FoxNews
311,-0.5267,Tue Mar 27 04:15:00 +0000 2018,0.805,0.195,0.0,12,@FoxNews
312,0.0,Tue Mar 27 04:10:00 +0000 2018,1.0,0.0,0.0,13,@FoxNews
313,0.0,Tue Mar 27 04:05:00 +0000 2018,1.0,0.0,0.0,14,@FoxNews
314,0.024,Tue Mar 27 04:01:00 +0000 2018,0.774,0.111,0.116,15,@FoxNews
315,0.6808,Tue Mar 27 03:52:57 +0000 2018,0.641,0.0,0.359,16,@FoxNews
316,-0.6124,Tue Mar 27 03:34:34 +0000 2018,0.778,0.222,0.0,17,@FoxNews
317,-0.4019,Tue Mar 27 03:23:46 +0000 2018,0.658,0.226,0.115,18,@FoxNews
318,-0.0516,Tue Mar 27 03:15:00 +0000 2018,0.76,0.124,0.116,19,@FoxNews
319,-0.6249,Tue Mar 27 03:05:47 +0000 2018,0.76,0.24,0.0,20,@FoxNews
320,0.5267,Tue Mar 27 03:05:00 +0000 2018,0.746,0.0,0.254,21,@FoxNews
321,0.0,Tue Mar 27 03:00:38 +0000 2018,1.0,0.0,0.0,22,@FoxNews
322,0.4404,Tue Mar 27 02:47:47 +0000 2018,0.861,0.0,0.139,23,@FoxNews
323,-0.6124,Tue Mar 27 02:42:24 +0000 2018,0.783,0.217,0.0,24,@FoxNews
324,0.0,Tue Mar 27 02:34:54 +0000 2018,1.0,0.0,0.0,25,@FoxNews
325,-0.25,Tue Mar 27 02:28:26 +0000 2018,0.905,0.095,0.0,26,@FoxNews
326,0.0,Tue Mar 27 02:15:21 +0000 2018,1.0,0.0,0.0,27,@FoxNews
327,0.0,Tue Mar 27 02:06:25 +0000 2018,1.0,0.0,0.0,28,@FoxNews
328,0.0,Tue Mar 27 01:55:34 +0000 2018,1.0,0.0,0.0,29,@FoxNews
329,0.128,Tue Mar 27 01:40:01 +0000 2018,0.889,0.0,0.111,30,@FoxNews
330,0.6808,Tue Mar 27 01:28:08 +0000 2018,0.663,0.0,0.337,31,@FoxNews
331,0.0,Tue Mar 27 01:20:29 +0000 2018,1.0,0.0,0.0,32,@FoxNews
332,0.4019,Tue Mar 27 01:10:24 +0000 2018,0.691,0.115,0.194,33,@FoxNews
333,0.0,Tue Mar 27 00:51:59 +0000 2018,1.0,0.0,0.0,34,@FoxNews
334,-0.5574,Tue Mar 27 00:36:16 +0000 2018,0.795,0.205,0.0,35,@FoxNews
335,-0.4151,Tue Mar 27 00:22:07 +0000 2018,0.692,0.198,0.11,36,@FoxNews
336,-0.0516,Tue Mar 27 00:11:00 +0000 2018,0.76,0.124,0.116,37,@FoxNews
337,-0.6808,Mon Mar 26 23:58:48 +0000 2018,0.763,0.237,0.0,38,@FoxNews
338,0.2023,Mon Mar 26 23:47:52 +0000 2018,0.904,0.0,0.096,39,@FoxNews
339,-0.4019,Mon Mar 26 23:41:55 +0000 2018,0.881,0.119,0.0,40,@FoxNews
340,-0.5267,Mon Mar 26 23:24:30 +0000 2018,0.794,0.206,0.0,41,@FoxNews
341,-0.3182,Mon Mar 26 23:17:19 +0000 2018,0.699,0.179,0.122,42,@FoxNews
342,-0.6486,Mon Mar 26 23:09:14 +0000 2018,0.719,0.281,0.0,43,@FoxNews
343,-0.3612,Mon Mar 26 22:56:05 +0000 2018,0.839,0.161,0.0,44,@FoxNews
344,0.3818,Mon Mar 26 22:50:01 +0000 2018,0.843,0.0,0.157,45,@FoxNews
345,0.4939,Mon Mar 26 22:42:00 +0000 2018,0.849,0.0,0.151,46,@FoxNews
346,-0.4767,Mon Mar 26 22:34:00 +0000 2018,0.763,0.237,0.0,47,@FoxNews
347,0.0,Mon Mar 26 22:26:04 +0000 2018,1.0,0.0,0.0,48,@FoxNews
348,-0.4019,Mon Mar 26 22:11:00 +0000 2018,0.703,0.195,0.103,49,@FoxNews
349,-0.5267,Mon Mar 26 22:02:00 +0000 2018,0.805,0.195,0.0,50,@FoxNews
350,0.771,Mon Mar 26 22:00:01 +0000 2018,0.642,0.0,0.358,51,@FoxNews
351,-0.8442,Mon Mar 26 21:55:00 +0000 2018,0.531,0.406,0.063,52,@FoxNews
352,0.0,Mon Mar 26 21:53:20 +0000 2018,1.0,0.0,0.0,53,@FoxNews
353,0.4323,Mon Mar 26 21:52:45 +0000 2018,0.651,0.113,0.237,54,@FoxNews
354,-0.3818,Mon Mar 26 21:44:29 +0000 2018,0.86,0.14,0.0,55,@FoxNews
355,-0.6808,Mon Mar 26 21:31:45 +0000 2018,0.763,0.237,0.0,56,@FoxNews
356,-0.4939,Mon Mar 26 21:26:51 +0000 2018,0.802,0.198,0.0,57,@FoxNews
357,0.0,Mon Mar 26 21:18:00 +0000 2018,1.0,0.0,0.0,58,@FoxNews
358,-0.296,Mon Mar 26 21:11:09 +0000 2018,0.82,0.18,0.0,59,@FoxNews
359,-0.5719,Mon Mar 26 21:01:05 +0000 2018,0.701,0.299,0.0,60,@FoxNews
360,0.0,Mon Mar 26 20:48:00 +0000 2018,1.0,0.0,0.0,61,@FoxNews
361,0.4404,Mon Mar 26 20:35:00 +0000 2018,0.664,0.114,0.221,62,@FoxNews
362,-0.5267,Mon Mar 26 20:31:21 +0000 2018,0.805,0.195,0.0,63,@FoxNews
363,-0.9062,Mon Mar 26 20:22:00 +0000 2018,0.514,0.486,0.0,64,@FoxNews
364,0.0,Mon Mar 26 20:12:45 +0000 2018,1.0,0.0,0.0,65,@FoxNews
365,-0.1027,Mon Mar 26 19:59:00 +0000 2018,0.865,0.135,0.0,66,@FoxNews
366,-0.1779,Mon Mar 26 19:48:00 +0000 2018,0.884,0.116,0.0,67,@FoxNews
367,0.0,Mon Mar 26 19:36:46 +0000 2018,1.0,0.0,0.0,68,@FoxNews
368,-0.8271,Mon Mar 26 19:31:34 +0000 2018,0.539,0.461,0.0,69,@FoxNews
369,0.2263,Mon Mar 26 19:09:39 +0000 2018,0.853,0.0,0.147,70,@FoxNews
370,0.5106,Mon Mar 26 18:57:00 +0000 2018,0.777,0.0,0.223,71,@FoxNews
371,0.0,Mon Mar 26 18:43:23 +0000 2018,1.0,0.0,0.0,72,@FoxNews
372,0.2846,Mon Mar 26 18:31:46 +0000 2018,0.888,0.0,0.112,73,@FoxNews
373,0.5927,Mon Mar 26 18:26:03 +0000 2018,0.805,0.0,0.195,74,@FoxNews
374,0.7845,Mon Mar 26 18:16:32 +0000 2018,0.669,0.0,0.331,75,@FoxNews
375,0.0,Mon Mar 26 18:10:12 +0000 2018,1.0,0.0,0.0,76,@FoxNews
376,0.8923,Mon Mar 26 18:08:37 +0000 2018,0.527,0.0,0.473,77,@FoxNews
377,0.4215,Mon Mar 26 18:02:33 +0000 2018,0.741,0.0,0.259,78,@FoxNews
378,0.0,Mon Mar 26 17:57:09 +0000 2018,1.0,0.0,0.0,79,@FoxNews
379,0.4588,Mon Mar 26 17:54:00 +0000 2018,0.8,0.0,0.2,80,@FoxNews
380,0.0,Mon Mar 26 17:47:03 +0000 2018,1.0,0.0,0.0,81,@FoxNews
381,-0.25,Mon Mar 26 17:25:04 +0000 2018,0.864,0.136,0.0,82,@FoxNews
382,0.771,Mon Mar 26 17:20:51 +0000 2018,0.642,0.0,0.358,83,@FoxNews
383,0.0,Mon Mar 26 17:17:03 +0000 2018,1.0,0.0,0.0,84,@FoxNews
384,0.0,Mon Mar 26 17:15:38 +0000 2018,1.0,0.0,0.0,85,@FoxNews
385,0.7172,Mon Mar 26 16:59:15 +0000 2018,0.572,0.0,0.428,86,@FoxNews
386,-0.9042,Mon Mar 26 16:40:09 +0000 2018,0.573,0.427,0.0,87,@FoxNews
387,0.0,Mon Mar 26 16:28:29 +0000 2018,1.0,0.0,0.0,88,@FoxNews
388,-0.5267,Mon Mar 26 16:18:27 +0000 2018,0.732,0.268,0.0,89,@FoxNews
389,0.0,Mon Mar 26 15:51:09 +0000 2018,1.0,0.0,0.0,90,@FoxNews
390,0.0,Mon Mar 26 15:39:25 +0000 2018,1.0,0.0,0.0,91,@FoxNews
391,0.0,Mon Mar 26 15:34:45 +0000 2018,1.0,0.0,0.0,92,@FoxNews
392,0.0,Mon Mar 26 15:33:08 +0000 2018,1.0,0.0,0.0,93,@FoxNews
393,-0.4767,Mon Mar 26 15:16:19 +0000 2018,0.838,0.162,0.0,94,@FoxNews
394,0.4019,Mon Mar 26 15:00:47 +0000 2018,0.705,0.11,0.185,95,@FoxNews
395,0.6808,Mon Mar 26 14:52:16 +0000 2018,0.699,0.0,0.301,96,@FoxNews
396,0.4767,Mon Mar 26 14:40:04 +0000 2018,0.763,0.0,0.237,97,@FoxNews
397,-0.5423,Mon Mar 26 14:30:02 +0000 2018,0.741,0.259,0.0,98,@FoxNews
398,0.4939,Mon Mar 26 14:25:26 +0000 2018,0.856,0.0,0.144,99,@FoxNews
399,0.6808,Mon Mar 26 14:08:42 +0000 2018,0.663,0.0,0.337,100,@FoxNews
400,-0.7964,Tue Mar 27 05:02:02 +0000 2018,0.738,0.262,0.0,1,@nytimes
401,-0.4939,Tue Mar 27 04:41:07 +0000 2018,0.856,0.144,0.0,2,@nytimes
402,0.7269,Tue Mar 27 04:21:02 +0000 2018,0.679,0.0,0.321,3,@nytimes
403,0.0,Tue Mar 27 04:09:38 +0000 2018,1.0,0.0,0.0,4,@nytimes
404,-0.5267,Tue Mar 27 04:02:01 +0000 2018,0.658,0.246,0.096,5,@nytimes
405,0.5423,Tue Mar 27 03:47:05 +0000 2018,0.653,0.06,0.286,6,@nytimes
406,-0.3182,Tue Mar 27 03:32:04 +0000 2018,0.897,0.103,0.0,7,@nytimes
407,0.1531,Tue Mar 27 03:17:03 +0000 2018,0.826,0.074,0.099,8,@nytimes
408,0.0,Tue Mar 27 03:02:05 +0000 2018,1.0,0.0,0.0,9,@nytimes
409,0.296,Tue Mar 27 02:47:05 +0000 2018,0.814,0.0,0.186,10,@nytimes
410,-0.6908,Tue Mar 27 02:32:02 +0000 2018,0.759,0.241,0.0,11,@nytimes
411,-0.0757,Tue Mar 27 02:17:02 +0000 2018,0.779,0.117,0.104,12,@nytimes
412,-0.5267,Tue Mar 27 02:02:03 +0000 2018,0.707,0.212,0.082,13,@nytimes
413,0.0,Tue Mar 27 01:47:02 +0000 2018,1.0,0.0,0.0,14,@nytimes
414,-0.1027,Tue Mar 27 01:31:03 +0000 2018,0.772,0.102,0.126,15,@nytimes
415,0.2732,Tue Mar 27 01:21:03 +0000 2018,0.896,0.0,0.104,16,@nytimes
